-------------------------------------------------
Time	| Thread | Register Num	| Wr Data	|
-------------------------------------------------
14840.0 	|	00 	|	x 1 		|       348 	| 
14880.0 	|	00 	|	x 2 		|   4198000 	| 
14960.0 	|	00 	|	x 8 		|   4198048 	| 
15080.0 	|	00 	|	x15 		|   4198120 	| 
15120.0 	|	00 	|	x15 		|        50 	| 
15200.0 	|	00 	|	x15 		|   4198124 	| 
15240.0 	|	00 	|	x14 		|         2 	| 
15280.0 	|	00 	|	x15 		|   4198120 	| 
15360.0 	|	00 	|	x15 		|   4198124 	| 
15400.0 	|	00 	|	x14 		|        50 	| 
15520.0 	|	00 	|	x 8 		|   4198096 	| 
15560.0 	|	00 	|	x 2 		|   4198048 	| 
15640.0 	|	00 	|	x15 		|         6 	| 
15680.0 	|	00 	|	x15 		|         7 	| 
15760.0 	|	00 	|	x14 		|         8 	| 
15800.0 	|	00 	|	x15 		|         0 	| 
15840.0 	|	00 	|	x15 		|         8 	| 
15880.0 	|	00 	|	x15 		|         7 	| 
15920.0 	|	00 	|	x14 		|         7 	| 
16000.0 	|	00 	|	x15 		|         0 	| 
16040.0 	|	00 	|	x15 		|         1 	| 
16120.0 	|	00 	|	x15 		|         8 	| 
16160.0 	|	00 	|	x15 		|         7 	| 
16200.0 	|	00 	|	x14 		|         1 	| 
16360.0 	|	00 	|	x14 		|         8 	| 
16400.0 	|	00 	|	x15 		|         1 	| 
16440.0 	|	00 	|	x15 		|         7 	| 
16480.0 	|	00 	|	x15 		|         6 	| 
16520.0 	|	00 	|	x14 		|         0 	| 
16600.0 	|	00 	|	x15 		|         0 	| 
16640.0 	|	00 	|	x15 		|         0 	| 
16680.0 	|	00 	|	x14 		|   4198096 	| 
16720.0 	|	00 	|	x15 		|   4198096 	| 
16760.0 	|	00 	|	x14 		|         1 	| 
16800.0 	|	00 	|	x15 		|         0 	| 
16840.0 	|	00 	|	x15 		|         1 	| 
16880.0 	|	00 	|	x15 		|         4 	| 
16920.0 	|	00 	|	x13 		|   4198096 	| 
16960.0 	|	00 	|	x15 		|   4198100 	| 
17000.0 	|	00 	|	x15 		|         0 	| 
17080.0 	|	00 	|	x15 		|         0 	| 
17120.0 	|	00 	|	x15 		|         0 	| 
17160.0 	|	00 	|	x14 		|   4198096 	| 
17200.0 	|	00 	|	x13 		|   4198096 	| 
17240.0 	|	00 	|	x15 		|         0 	| 
17280.0 	|	00 	|	x15 		|         1 	| 
17320.0 	|	00 	|	x15 		|         4 	| 
17360.0 	|	00 	|	x14 		|   4198096 	| 
17400.0 	|	00 	|	x15 		|   4198100 	| 
17440.0 	|	00 	|	x11 		|   4198100 	| 
17480.0 	|	00 	|	x10 		|   4198096 	| 
17520.0 	|	00 	|	x 1 		|       348 	| 
17560.0 	|	00 	|	x 2 		|   4198000 	| 
17640.0 	|	00 	|	x 8 		|   4198048 	| 
17760.0 	|	00 	|	x15 		|   4198096 	| 
17800.0 	|	00 	|	x15 		|         1 	| 
17880.0 	|	00 	|	x15 		|   4198100 	| 
17920.0 	|	00 	|	x14 		|         0 	| 
17960.0 	|	00 	|	x15 		|   4198096 	| 
18040.0 	|	00 	|	x15 		|   4198100 	| 
18080.0 	|	00 	|	x14 		|         1 	| 
18200.0 	|	00 	|	x 8 		|   4198096 	| 
18240.0 	|	00 	|	x 2 		|   4198048 	| 
18320.0 	|	00 	|	x15 		|         0 	| 
18360.0 	|	00 	|	x15 		|         1 	| 
18440.0 	|	00 	|	x14 		|         8 	| 
18480.0 	|	00 	|	x15 		|         1 	| 
18520.0 	|	00 	|	x15 		|         7 	| 
18560.0 	|	00 	|	x15 		|         6 	| 
18600.0 	|	00 	|	x14 		|         1 	| 
18680.0 	|	00 	|	x15 		|         1 	| 
18720.0 	|	00 	|	x15 		|         4 	| 
18760.0 	|	00 	|	x14 		|   4198096 	| 
18800.0 	|	00 	|	x15 		|   4198100 	| 
18840.0 	|	00 	|	x14 		|         1 	| 
18880.0 	|	00 	|	x15 		|         1 	| 
18920.0 	|	00 	|	x15 		|         2 	| 
18960.0 	|	00 	|	x15 		|         8 	| 
19000.0 	|	00 	|	x13 		|   4198096 	| 
19040.0 	|	00 	|	x15 		|   4198104 	| 
19080.0 	|	00 	|	x15 		|         3 	| 
19160.0 	|	00 	|	x15 		|         1 	| 
19200.0 	|	00 	|	x15 		|         2 	| 
19280.0 	|	00 	|	x14 		|         8 	| 
19320.0 	|	00 	|	x15 		|         1 	| 
19360.0 	|	00 	|	x15 		|         7 	| 
19400.0 	|	00 	|	x15 		|         6 	| 
19440.0 	|	00 	|	x14 		|         2 	| 
19520.0 	|	00 	|	x15 		|         2 	| 
19560.0 	|	00 	|	x15 		|         8 	| 
19600.0 	|	00 	|	x14 		|   4198096 	| 
19640.0 	|	00 	|	x15 		|   4198104 	| 
19680.0 	|	00 	|	x14 		|         3 	| 
19720.0 	|	00 	|	x15 		|         2 	| 
19760.0 	|	00 	|	x15 		|         3 	| 
19800.0 	|	00 	|	x15 		|        12 	| 
19840.0 	|	00 	|	x13 		|   4198096 	| 
19880.0 	|	00 	|	x15 		|   4198108 	| 
19920.0 	|	00 	|	x15 		|         5 	| 
20000.0 	|	00 	|	x15 		|         2 	| 
20040.0 	|	00 	|	x15 		|         3 	| 
